Parameter;Value
Crystal System;tetragonal
Space Group;I -4 m 2 (# 119)
Unit cell lengths;a = 13.4390 Å, b = 13.4390 Å, c = 21.8600 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3948.1 cubic Å
Framework density;14.2 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;8.64 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.79 Å, b: 6.79 Å, c: 6.79 Å
Accessible volume:;25.69 %
