Parameter;Value
Crystal System;orthorhombic
Space Group;P m m a (# 51)
Unit cell lengths;a = 14.0000 Å, b = 7.0000 Å, c = 6.4820 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;635.2 cubic Å
Framework density;15.7 T/1000 cubic Å
Ring sizes (# T-atoms);8 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.15 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.26 Å, b: 3 Å, c: 3.69 Å
Accessible volume:;9.94 %
