Parameter;Value
Crystal System;cubic
Space Group;I m -3 m (# 229)
Unit cell lengths;a = 44.7444 Å, b = 44.7444 Å, c = 44.7444 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;89581.0 cubic Å
Framework density;16.1 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;10.46 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.07 Å, b: 4.07 Å, c: 4.07 Å
Accessible volume:;11.44 %
