Parameter;Value
Crystal System;cubic
Space Group;I a -3 d (# 230)
Unit cell lengths;a = 13.5670 Å, b = 13.5670 Å, c = 13.5670 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2497.2 cubic Å
Framework density;19.2 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;4.21 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.43 Å, b: 2.43 Å, c: 2.43 Å
Accessible volume:;0.00 %
