Parameter;Value
Crystal System;orthorhombic
Space Group;P n m a (# 62)
Unit cell lengths;a = 9.6860 Å, b = 12.2260 Å, c = 22.8360 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2704.3 cubic Å
Framework density;17.7 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;6.22 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.78 Å, b: 3.66 Å, c: 1.78 Å
Accessible volume:;8.36 %
