Parameter;Value
Crystal System;cubic
Space Group;F d -3 m (# 227)
Unit cell lengths;a = 35.6220 Å, b = 35.6220 Å, c = 35.6220 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;45201.7 cubic Å
Framework density;17.0 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 0-dimensional
Maximum diameter of a sphere;
that can be included;10.13 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.08 Å, b: 2.08 Å, c: 2.08 Å
Accessible volume:;0.00 %
