Parameter;Value
Crystal System;orthorhombic
Space Group;P m m m (# 47)
Unit cell lengths;a = 25.1100 Å, b = 12.7330 Å, c = 11.5100 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3680.0 cubic Å
Framework density;16.3 T/1000 cubic Å
Ring sizes (# T-atoms);12 10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;8.78 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.96 Å, b: 5.45 Å, c: 6.11 Å
Accessible volume:;16.18 %
