Parameter;Value
Crystal System;cubic
Space Group;F m -3 m (# 225)
Unit cell lengths;a = 30.7420 Å, b = 30.7420 Å, c = 30.7420 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;29053.4 cubic Å
Framework density;13.2 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;16.45 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.08 Å, b: 4.08 Å, c: 4.08 Å
Accessible volume:;27.85 %
