Parameter;Value
Crystal System;orthorhombic
Space Group;P b c m (# 57)
Unit cell lengths;a = 7.1386 Å, b = 12.7090 Å, c = 13.4705 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1222.1 cubic Å
Framework density;16.4 T/1000 cubic Å
Ring sizes (# T-atoms);8 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;4.92 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.09 Å, b: 3.5 Å, c: 3.09 Å
Accessible volume:;7.50 %
