Parameter;Value
Crystal System;trigonal
Space Group;R -3 m (# 166)
Unit cell lengths;a = 13.1680 Å, b = 13.1680 Å, c = 22.5780 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;3390.5 cubic Å
Framework density;15.9 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;7.1 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.53 Å, b: 3.53 Å, c: 2.5 Å
Accessible volume:;14.32 %
