Parameter;Value
Crystal System;hexagonal
Space Group;P 63/m c m (# 193)
Unit cell lengths;a = 13.0580 Å, b = 13.0580 Å, c = 25.9190 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;3827.5 cubic Å
Framework density;14.6 T/1000 cubic Å
Ring sizes (# T-atoms);12 8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;9.51 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.76 Å, b: 3.76 Å, c: 6.01 Å
Accessible volume:;21.60 %
