Parameter;Value
Crystal System;orthorhombic
Space Group;I m m a (# 74)
Unit cell lengths;a = 9.8730 Å, b = 5.2540 Å, c = 8.7700 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;454.9 cubic Å
Framework density;17.6 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;4.24 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.61 Å, b: 3.51 Å, c: 2.61 Å
Accessible volume:;5.19 %
