Parameter;Value
Crystal System;trigonal
Space Group;P 3 1 c (# 159)
Unit cell lengths;a = 19.8011 Å, b = 19.8011 Å, c = 14.1878 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;4817.6 cubic Å
Framework density;14.5 T/1000 cubic Å
Ring sizes (# T-atoms);21 10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.75 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.29 Å, b: 4.29 Å, c: 6.22 Å
Accessible volume:;21.95 %
