Parameter;Value
Crystal System;orthorhombic
Space Group;I b a m (# 72)
Unit cell lengths;a = 14.7088 Å, b = 27.5364 Å, c = 8.3173 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3368.7 cubic Å
Framework density;19.0 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;6.66 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.96 Å, b: 1.5 Å, c: 6.19 Å
Accessible volume:;9.86 %
