Parameter;Value
Crystal System;cubic
Space Group;P m -3 m (# 221)
Unit cell lengths;a = 25.8400 Å, b = 25.8400 Å, c = 25.8400 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;17253.5 cubic Å
Framework density;11.1 T/1000 cubic Å
Ring sizes (# T-atoms);20 8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;15.72 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.31 Å, b: 6.31 Å, c: 6.31 Å
Accessible volume:;33.76 %
