Parameter;Value
Crystal System;trigonal
Space Group;R -3 m (# 166)
Unit cell lengths;a = 12.8800 Å, b = 12.8800 Å, c = 60.6099 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;8707.7 cubic Å
Framework density;16.5 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2- and 2-dimensional
Maximum diameter of a sphere;
that can be included;6.86 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.26 Å, b: 3.26 Å, c: 1.88 Å
Accessible volume:;12.39 %
