Parameter;Value
Crystal System;orthorhombic
Space Group;C m c m (# 63)
Unit cell lengths;a = 14.1050 Å, b = 17.8420 Å, c = 5.2560 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1322.7 cubic Å
Framework density;18.1 T/1000 cubic Å
Ring sizes (# T-atoms);10 6 5
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;5.71 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.31 Å, b: 1.56 Å, c: 5.11 Å
Accessible volume:;8.04 %
