Parameter;Value
Crystal System;trigonal
Space Group;R -3 m (# 166)
Unit cell lengths;a = 17.1910 Å, b = 17.1910 Å, c = 41.0300 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;10501.3 cubic Å
Framework density;13.7 T/1000 cubic Å
Ring sizes (# T-atoms);12 8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;11.17 Å
Maximum diameter of a sphere;
that can diffuse along;a: 7.34 Å, b: 7.34 Å, c: 5.71 Å
Accessible volume:;27.25 %
