Parameter;Value
Crystal System;tetragonal
Space Group;I 41/a m d (# 141)
Unit cell lengths;a = 7.1560 Å, b = 7.1560 Å, c = 41.8420 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2142.7 cubic Å
Framework density;16.8 T/1000 cubic Å
Ring sizes (# T-atoms);9 8 5 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;4.31 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.77 Å, b: 3.77 Å, c: 2.9 Å
Accessible volume:;6.43 %
