Parameter;Value
Crystal System;hexagonal
Space Group;P 63/m m c (# 194)
Unit cell lengths;a = 13.1780 Å, b = 13.1780 Å, c = 15.0050 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;2256.7 cubic Å
Framework density;16.0 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;7.14 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.54 Å, b: 3.54 Å, c: 2.5 Å
Accessible volume:;14.32 %
