Parameter;Value
Crystal System;tetragonal
Space Group;I 41/a m d (# 141)
Unit cell lengths;a = 7.1350 Å, b = 7.1350 Å, c = 17.8090 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;906.6 cubic Å
Framework density;17.6 T/1000 cubic Å
Ring sizes (# T-atoms);8 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;4.24 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.54 Å, b: 3.54 Å, c: 3.54 Å
Accessible volume:;5.98 %
