Parameter;Value
Crystal System;cubic
Space Group;P 41 3 2 (# 213)
Unit cell lengths;a = 26.3099 Å, b = 26.3099 Å, c = 26.3099 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;18212.0 cubic Å
Framework density;10.5 T/1000 cubic Å
Ring sizes (# T-atoms);30 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;9.32 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.98 Å, b: 6.98 Å, c: 6.98 Å
Accessible volume:;37.82 %
