Parameter;Value
Crystal System;orthorhombic
Space Group;C m c m (# 63)
Unit cell lengths;a = 14.1488 Å, b = 35.7082 Å, c = 14.0770 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;7112.1 cubic Å
Framework density;12.9 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 6 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;8.71 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.92 Å, b: 3.68 Å, c: 4.92 Å
Accessible volume:;22.27 %
