Parameter;Value
Crystal System;orthorhombic
Space Group;C m c m (# 63)
Unit cell lengths;a = 7.5463 Å, b = 29.1630 Å, c = 18.1274 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3989.4 cubic Å
Framework density;18.0 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;6.37 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.19 Å, b: 1.63 Å, c: 3.42 Å
Accessible volume:;7.27 %
