Parameter;Value
Crystal System;orthorhombic
Space Group;I m m a (# 74)
Unit cell lengths;a = 13.9610 Å, b = 5.2640 Å, c = 25.9670 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1908.3 cubic Å
Framework density;16.8 T/1000 cubic Å
Ring sizes (# T-atoms);14 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;7.47 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.62 Å, b: 7.26 Å, c: 2.4 Å
Accessible volume:;13.38 %
