Parameter;Value
Crystal System;monoclinic
Space Group;P 1 21/m 1 (# 11)
Unit cell lengths;a = 11.4540 Å, b = 21.6950 Å, c = 7.2270 Å
Unit cell angles;α = 90.000°, β = 93.154°, γ = 90.000°
Volume;1793.2 cubic Å
Framework density;17.8 T/1000 cubic Å
Ring sizes (# T-atoms);10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;7.59 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.63 Å, b: 1.37 Å, c: 5.34 Å
Accessible volume:;13.99 %
