Parameter;Value
Crystal System;tetragonal
Space Group;I 41/a m d (# 141)
Unit cell lengths;a = 7.8055 Å, b = 7.8055 Å, c = 27.3499 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1666.3 cubic Å
Framework density;19.2 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;4.42 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.99 Å, b: 1.99 Å, c: 1.66 Å
Accessible volume:;4.37 %
