Parameter;Value
Crystal System;cubic
Space Group;F m -3 m (# 225)
Unit cell lengths;a = 13.6240 Å, b = 13.6240 Å, c = 13.6240 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2528.8 cubic Å
Framework density;15.8 T/1000 cubic Å
Ring sizes (# T-atoms);6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 0-dimensional
Maximum diameter of a sphere;
that can be included;7.94 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.91 Å, b: 1.91 Å, c: 1.91 Å
Accessible volume:;0.00 %
