Parameter;Value
Crystal System;orthorhombic
Space Group;C m m e (# )
Unit cell lengths;a = 13.9010 Å, b = 22.8610 Å, c = 20.5820 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;6540.8 cubic Å
Framework density;17.1 T/1000 cubic Å
Ring sizes (# T-atoms);10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;7 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.99 Å, b: 1.98 Å, c: 2.5 Å
Accessible volume:;12.24 %
