Parameter;Value
Crystal System;tetragonal
Space Group;I 4/m m m (# 139)
Unit cell lengths;a = 8.9520 Å, b = 8.9520 Å, c = 5.2550 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;421.1 cubic Å
Framework density;19.0 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;3.8 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.55 Å, b: 2.55 Å, c: 2.91 Å
Accessible volume:;0.45 %
