Parameter;Value
Crystal System;hexagonal
Space Group;P -6 m 2 (# 187)
Unit cell lengths;a = 13.0630 Å, b = 13.0630 Å, c = 7.5650 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;1118.0 cubic Å
Framework density;16.1 T/1000 cubic Å
Ring sizes (# T-atoms);12 8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.43 Å, b: 3.43 Å, c: 6.61 Å
Accessible volume:;15.09 %
