Parameter;Value
Crystal System;orthorhombic
Space Group;C m c m (# 63)
Unit cell lengths;a = 11.6731 Å, b = 21.9694 Å, c = 25.1700 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;6454.9 cubic Å
Framework density;17.4 T/1000 cubic Å
Ring sizes (# T-atoms);10 9 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.36 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5.12 Å, b: 5.12 Å, c: 3.58 Å
Accessible volume:;11.79 %
