Parameter;Value
Crystal System;orthorhombic
Space Group;I m m a (# 74)
Unit cell lengths;a = 20.0140 Å, b = 23.5800 Å, c = 12.6690 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;5978.9 cubic Å
Framework density;16.1 T/1000 cubic Å
Ring sizes (# T-atoms);12 10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;8.05 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.88 Å, b: 4.92 Å, c: 4.92 Å
Accessible volume:;18.13 %
