Parameter;Value
Crystal System;tetragonal
Space Group;P -4 21 c (# 114)
Unit cell lengths;a = 14.0966 Å, b = 14.0966 Å, c = 18.3338 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3643.2 cubic Å
Framework density;17.6 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.14 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.74 Å, b: 3.74 Å, c: 3.43 Å
Accessible volume:;10.36 %
