Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 17.5230 Å, b = 17.6440 Å, c = 7.4010 Å
Unit cell angles;α = 90.000°, β = 116.104°, γ = 90.000°
Volume;2054.8 cubic Å
Framework density;17.5 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;5.97 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.05 Å, b: 1.34 Å, c: 3.67 Å
Accessible volume:;9.42 %
