Parameter;Value
Crystal System;orthorhombic
Space Group;C m c e (# )
Unit cell lengths;a = 8.9920 Å, b = 19.3560 Å, c = 10.3920 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1808.7 cubic Å
Framework density;17.7 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;4.23 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.16 Å, b: 2.57 Å, c: 2.6 Å
Accessible volume:;4.80 %
