Parameter;Value
Crystal System;tetragonal
Space Group;P -4 m 2 (# 115)
Unit cell lengths;a = 6.9260 Å, b = 6.9260 Å, c = 6.4100 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;307.5 cubic Å
Framework density;16.3 T/1000 cubic Å
Ring sizes (# T-atoms);8 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.72 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.2 Å, b: 3.2 Å, c: 3.44 Å
Accessible volume:;9.52 %
