Parameter;Value
Crystal System;monoclinic
Space Group;P 1 2/m 1 (# 10)
Unit cell lengths;a = 29.8857 Å, b = 8.3897 Å, c = 24.7314 Å
Unit cell angles;α = 90.000°, β = 105.048°, γ = 90.000°
Volume;5988.4 cubic Å
Framework density;18.7 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;6.8 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.72 Å, b: 6.09 Å, c: 2.07 Å
Accessible volume:;9.94 %
