Parameter;Value
Crystal System;tetragonal
Space Group;P 4/n m m (# 129)
Unit cell lengths;a = 13.6340 Å, b = 13.6340 Å, c = 7.6270 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1417.8 cubic Å
Framework density;16.9 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;7.48 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.86 Å, b: 1.86 Å, c: 4.17 Å
Accessible volume:;12.04 %
