Parameter;Value
Crystal System;cubic
Space Group;F d -3 m (# 227)
Unit cell lengths;a = 19.9330 Å, b = 19.9330 Å, c = 19.9330 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;7919.9 cubic Å
Framework density;17.2 T/1000 cubic Å
Ring sizes (# T-atoms);6 5
Channel dimensionality;Topological (pore opening > 6-ring)
; 0-dimensional
Maximum diameter of a sphere;
that can be included;7.44 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.61 Å, b: 2.61 Å, c: 2.61 Å
Accessible volume:;0.00 %
