Parameter;Value
Crystal System;cubic
Space Group;I a -3 d (# 230)
Unit cell lengths;a = 17.2520 Å, b = 17.2520 Å, c = 17.2520 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;5134.7 cubic Å
Framework density;18.7 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.17 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.84 Å, b: 3.84 Å, c: 3.84 Å
Accessible volume:;6.59 %
