Parameter;Value
Crystal System;cubic
Space Group;I m -3 m (# 229)
Unit cell lengths;a = 9.9050 Å, b = 9.9050 Å, c = 9.9050 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;971.8 cubic Å
Framework density;16.5 T/1000 cubic Å
Ring sizes (# T-atoms);8 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;4.58 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.56 Å, b: 3.56 Å, c: 3.56 Å
Accessible volume:;8.68 %
