Parameter;Value
Crystal System;orthorhombic
Space Group;F m m m (# 69)
Unit cell lengths;a = 22.8620 Å, b = 15.6560 Å, c = 13.9350 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;4987.7 cubic Å
Framework density;17.6 T/1000 cubic Å
Ring sizes (# T-atoms);6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 0-dimensional
Maximum diameter of a sphere;
that can be included;6.5 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.27 Å, b: 2.3 Å, c: 2.3 Å
Accessible volume:;0.00 %
