Parameter;Value
Crystal System;monoclinic
Space Group;P 1 21/c 1 (# 14)
Unit cell lengths;a = 19.9020 Å, b = 10.1561 Å, c = 24.6892 Å
Unit cell angles;α = 90.000°, β = 105.880°, γ = 90.000°
Volume;4799.9 cubic Å
Framework density;16.7 T/1000 cubic Å
Ring sizes (# T-atoms);18 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;6.79 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.65 Å, b: 4.89 Å, c: 1.58 Å
Accessible volume:;13.11 %
