Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 25.5520 Å, b = 5.2560 Å, c = 12.1170 Å
Unit cell angles;α = 90.000°, β = 109.312°, γ = 90.000°
Volume;1535.8 cubic Å
Framework density;18.2 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;6.08 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.27 Å, b: 5.68 Å, c: 2.41 Å
Accessible volume:;9.42 %
