Parameter;Value
Crystal System;trigonal
Space Group;R -3 m (# 166)
Unit cell lengths;a = 13.6750 Å, b = 13.6750 Å, c = 14.7670 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;2391.6 cubic Å
Framework density;15.1 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.37 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.72 Å, b: 3.72 Å, c: 3.72 Å
Accessible volume:;17.27 %
