Parameter;Value
Crystal System;tetragonal
Space Group;P 42/m n m (# 136)
Unit cell lengths;a = 18.7661 Å, b = 18.7661 Å, c = 11.6939 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;4118.2 cubic Å
Framework density;15.5 T/1000 cubic Å
Ring sizes (# T-atoms);12 11 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.27 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5.68 Å, b: 5.68 Å, c: 6.58 Å
Accessible volume:;19.86 %
