Parameter;Value
Crystal System;orthorhombic
Space Group;C m m m (# 65)
Unit cell lengths;a = 18.1807 Å, b = 31.8406 Å, c = 12.6407 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;7317.5 cubic Å
Framework density;16.4 T/1000 cubic Å
Ring sizes (# T-atoms);12 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.97 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.18 Å, b: 6.18 Å, c: 3.6 Å
Accessible volume:;15.37 %
