Parameter;Value
Crystal System;orthorhombic
Space Group;C m c e (# )
Unit cell lengths;a = 13.7470 Å, b = 24.0690 Å, c = 18.3290 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;6064.6 cubic Å
Framework density;18.5 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;6.67 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.67 Å, b: 1.58 Å, c: 3.67 Å
Accessible volume:;9.70 %
