Parameter;Value
Crystal System;cubic
Space Group;P m -3 m (# 221)
Unit cell lengths;a = 13.8830 Å, b = 13.8830 Å, c = 13.8830 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2675.8 cubic Å
Framework density;13.5 T/1000 cubic Å
Ring sizes (# T-atoms);8 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;10.28 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.56 Å, b: 3.56 Å, c: 3.56 Å
Accessible volume:;19.05 %
