Parameter;Value
Crystal System;tetragonal
Space Group;P -4 m 2 (# 115)
Unit cell lengths;a = 20.1528 Å, b = 20.1528 Å, c = 109.7560 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;44575.8 cubic Å
Framework density;17.6 T/1000 cubic Å
Ring sizes (# T-atoms);12 10 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.67 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5.3 Å, b: 5.3 Å, c: 4.84 Å
Accessible volume:;12.30 %
