Parameter;Value
Crystal System;cubic
Space Group;I m -3 m (# 229)
Unit cell lengths;a = 18.5017 Å, b = 18.5017 Å, c = 18.5017 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;6333.4 cubic Å
Framework density;7.6 T/1000 cubic Å
Ring sizes (# T-atoms);12 8 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;14.4 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.29 Å, b: 6.29 Å, c: 6.29 Å
Accessible volume:;45.53 %
