Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 18.6280 Å, b = 13.4360 Å, c = 7.6290 Å
Unit cell angles;α = 90.000°, β = 102.322°, γ = 90.000°
Volume;1865.5 cubic Å
Framework density;17.2 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;7.24 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.64 Å, b: 1.3 Å, c: 6.38 Å
Accessible volume:;15.54 %
