Parameter;Value
Crystal System;tetragonal
Space Group;P 41 2 2 (# 91)
Unit cell lengths;a = 12.6320 Å, b = 12.6320 Å, c = 26.1860 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;4178.4 cubic Å
Framework density;15.3 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.68 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5.95 Å, b: 5.95 Å, c: 5.95 Å
Accessible volume:;20.52 %
