Parameter;Value
Crystal System;orthorhombic
Space Group;A m m 2 (# 38)
Unit cell lengths;a = 12.5655 Å, b = 11.6615 Å, c = 21.9303 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3213.5 cubic Å
Framework density;17.4 T/1000 cubic Å
Ring sizes (# T-atoms);10 9 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.72 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.53 Å, b: 5.13 Å, c: 4.99 Å
Accessible volume:;11.59 %
