Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 18.5740 Å, b = 7.5420 Å, c = 10.3770 Å
Unit cell angles;α = 90.000°, β = 108.917°, γ = 90.000°
Volume;1375.2 cubic Å
Framework density;17.5 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;5.28 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.57 Å, b: 4.19 Å, c: 3.66 Å
Accessible volume:;9.50 %
