Parameter;Value
Crystal System;orthorhombic
Space Group;P n m a (# 62)
Unit cell lengths;a = 7.5032 Å, b = 12.7728 Å, c = 13.7063 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1313.6 cubic Å
Framework density;18.3 T/1000 cubic Å
Ring sizes (# T-atoms);10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;5.58 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.67 Å, b: 1.77 Å, c: 1.77 Å
Accessible volume:;9.06 %
