Parameter;Value
Crystal System;orthorhombic
Space Group;C m c m (# 63)
Unit cell lengths;a = 7.5566 Å, b = 18.7151 Å, c = 14.0986 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1993.9 cubic Å
Framework density;18.1 T/1000 cubic Å
Ring sizes (# T-atoms);8 5
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;5.78 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.44 Å, b: 1.52 Å, c: 3.35 Å
Accessible volume:;7.82 %
