Parameter;Value
Crystal System;orthorhombic
Space Group;C m c m (# 63)
Unit cell lengths;a = 9.7640 Å, b = 25.6140 Å, c = 8.3270 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2082.5 cubic Å
Framework density;19.2 T/1000 cubic Å
Ring sizes (# T-atoms);10 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;5.43 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.21 Å, b: 1.49 Å, c: 5.07 Å
Accessible volume:;7.23 %
