Parameter;Value
Crystal System;trigonal
Space Group;P -3 1 m (# 162)
Unit cell lengths;a = 12.3300 Å, b = 12.3300 Å, c = 8.6030 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;1132.7 cubic Å
Framework density;14.1 T/1000 cubic Å
Ring sizes (# T-atoms);12 8 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.82 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.08 Å, b: 4.08 Å, c: 5.9 Å
Accessible volume:;21.88 %
