Parameter;Value
Crystal System;cubic
Space Group;I m -3 m (# 229)
Unit cell lengths;a = 8.9561 Å, b = 8.9561 Å, c = 8.9561 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;718.4 cubic Å
Framework density;16.7 T/1000 cubic Å
Ring sizes (# T-atoms);6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 0-dimensional
Maximum diameter of a sphere;
that can be included;6.32 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.53 Å, b: 2.53 Å, c: 2.53 Å
Accessible volume:;0.00 %
