Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 20.1437 Å, b = 14.0723 Å, c = 12.5223 Å
Unit cell angles;α = 90.000°, β = 115.651°, γ = 90.000°
Volume;3199.9 cubic Å
Framework density;18.8 T/1000 cubic Å
Ring sizes (# T-atoms);12 10 8 6 5
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;6.03 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.51 Å, b: 3.16 Å, c: 4.2 Å
Accessible volume:;6.89 %
