Parameter;Value
Crystal System;tetragonal
Space Group;I 4/m m m (# 139)
Unit cell lengths;a = 13.9144 Å, b = 13.9144 Å, c = 30.8439 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;5971.7 cubic Å
Framework density;12.7 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;9.26 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5.18 Å, b: 5.18 Å, c: 3.62 Å
Accessible volume:;22.73 %
