Parameter;Value
Crystal System;orthorhombic
Space Group;P m m a (# 51)
Unit cell lengths;a = 14.3553 Å, b = 7.1656 Å, c = 9.0797 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;934.0 cubic Å
Framework density;17.1 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;5.78 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.79 Å, b: 3.6 Å, c: 1.82 Å
Accessible volume:;10.35 %
